Semana,Município,Incidencia
2025-07-20,GAROPABA,0.0
2025-07-20,LEOBERTO LEAL,0.0
2025-07-20,ARABUTÃ,0.0
2025-07-20,ANCHIETA,16.82935038707506
2025-07-20,FLORIANÓPOLIS,10.1010101010101
2025-07-20,IBICARÉ,0.0
2025-07-20,MARAVILHA,3.565697985380638
2025-07-20,RIO DAS ANTAS,0.0
2025-07-20,SANTA TEREZINHA,0.0
2025-07-20,SAUDADES,0.0
2025-07-20,MASSARANDUBA,10.56970721911003
2025-07-20,APIÚNA,0.0
2025-07-20,FORMOSA DO SUL,0.0
2025-07-20,RIO DOS CEDROS,0.0
2025-07-20,RIO DO OESTE,0.0
2025-07-20,HERVAL D'OESTE,0.0
2025-07-20,SANTO AMARO DA IMPERATRIZ,0.0
2025-07-20,FRAIBURGO,0.0
2025-07-20,MAREMA,0.0
2025-07-20,SANTA CECÍLIA,0.0
2025-07-20,SANTIAGO DO SUL,0.0
2025-07-20,RIO DO SUL,0.0
2025-07-20,ANITÁPOLIS,0.0
2025-07-20,GUARUJÁ DO SUL,0.0
2025-07-20,SANTA TEREZINHA DO PROGRESSO,0.0
2025-07-20,FORQUILHINHA,0.0
2025-07-20,LINDÓIA DO SUL,0.0
2025-07-20,SANTA ROSA DE LIMA,0.0
2025-07-20,RIO DO CAMPO,0.0
2025-07-20,LONTRAS,0.0
2025-07-20,GALVÃO,0.0
2025-07-20,ANTÔNIO CARLOS,44.26737494466578
2025-07-20,GASPAR,0.0
2025-07-20,SCHROEDER,19.789244545589472
2025-07-20,PETROLÂNDIA,0.0
2025-07-20,ALFREDO WAGNER,0.0
2025-07-20,MACIEIRA,0.0
2025-07-20,MARACAJÁ,0.0
2025-07-20,LAURENTINO,0.0
2025-07-20,SALTO VELOSO,0.0
2025-07-20,ENTRE RIOS,0.0
2025-07-20,ARROIO TRINTA,0.0
2025-07-20,SOMBRIO,0.0
2025-07-20,SÃO MARTINHO,0.0
2025-07-20,GUARAMIRIM,10.752225710722119
2025-07-20,MAJOR VIEIRA,0.0
2025-07-20,ERVAL VELHO,0.0
2025-07-20,ILHOTA,9.843004084846696
2025-07-20,MONDAÍ,0.0
2025-07-20,RIO NEGRINHO,0.0
2025-07-20,GARUVA,21.39380649302027
2025-07-20,ARARANGUÁ,0.0
2025-07-20,FLOR DO SERTÃO,0.0
2025-07-20,ARAQUARI,32.99458888742246
2025-07-20,MODELO,0.0
2025-07-20,SEARA,0.0
2025-07-20,SÃO JOAQUIM,0.0
2025-07-20,IBIRAMA,0.0
2025-07-20,RANCHO QUEIMADO,0.0
2025-07-20,QUILOMBO,0.0
2025-07-20,FAXINAL DOS GUEDES,0.0
2025-07-20,LAURO MÜLLER,0.0
2025-07-20,SANTA HELENA,0.0
2025-07-20,MELEIRO,0.0
2025-07-20,ALTO BELA VISTA,0.0
2025-07-20,SERRA ALTA,0.0
2025-07-20,LUIZ ALVES,0.0
2025-07-20,PRINCESA,0.0
2025-07-20,CAMBORIÚ,0.0
2025-07-20,NOVA ITABERABA,0.0
2025-07-20,IRATI,0.0
2025-07-20,PERITIBA,0.0
2025-07-20,BOM JARDIM DA SERRA,0.0
2025-07-20,CATANDUVAS,0.0
2025-07-20,JARAGUÁ DO SUL,22.76207424574763
2025-07-20,XAXIM,0.0
2025-07-20,TIGRINHOS,0.0
2025-07-20,TANGARÁ,0.0
2025-07-20,BOM JESUS,0.0
2025-07-20,CAPÃO ALTO,0.0
2025-07-20,PAIAL,0.0
